codigoUnidade;nome;endereco;cidade;estado;regiaoAdministrativa;cnpj;telefone;site;linkLogo
021;Fatec Ourinhos;Av. Vitalina Marcusso, 1.400 - Campus Universitário - CEP: 19910-206 - Ourinhos/SP;Ourinhos;SP;Marília;62.823.257/0021-44;(14) 3302 - 9800;https://fatecourinhos.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_ourinhos.zip
313;Fatec Paulínia;Avenida dos Expedicionários, 1474 - Jardim Vista Alegre Paulínia/SP;Paulínia;SP;Campinas;62.823.257/0313-22;(11) 3322-2205;;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/09/fatec_ra_campinas_paulinia.zip
133;Fatec Pindamonhangaba;Rodovia Vereador Abel Fabrício Dias, 4.010 (SP 062) - Água Preta - CEP: 12445-010 - Pindamonhangaba/SP;Pindamonhangaba;SP;São José dos Campos;62.823.257/0133-40;(12) 3648-8756 / 3642-5648;https://fatecpindamonhangaba.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_pidamonhangaba.zip
175;Fatec Piracicaba – Deputado Roque Trevisan;Av. Diácono Jair de Oliveira, 651 - Santa Rosa - CEP: 13414-155 - Piracicaba/SP;Piracicaba;SP;Campinas;62.823.257/0175-08;(19) 3413-1702 / 3434-7317;https://fatecpiracicaba.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_piracicaba.zip
259;Fatec Pompeia – Shunji Nishimura;Av. Shunji Nishimura, 605 - Distrito Industrial - Centro - CEP: 17580-000 - Pompéia/SP;Pompeia;SP;Marília;62.823.257.0259-42;(14) 3452-1294;http://www.fatecpompeia.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_pompeia.zip
311;Fatec Porto Ferreira;Rua Padre Nestor C. Maranhão, 40 - Jardim Aeroporto, Porto Ferreira - SP, 13660-000;Porto Ferreira;SP;Central;62.823.257/0311-60;(19) 3589-5800;https://fatecportoferreira.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/11/fatec_ra_central_porto_ferreira.zip
129;Fatec Praia Grande;Praça 19 de Janeiro, 144 - Boqueirão - CEP: 11700-100 - Praia Grande/SP;Praia Grande;SP;Baixada Santista;62.823.257/0129-64;(13) 3591-1303 / 3591-6968;https://fatecpg.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_baixada_santista_praia_grande.zip
157;Fatec Presidente Prudente;Rua Teresina, 75 - Vila Paulo Roberto - CEP: 19046-230 - Presidente Prudente/SP;Presidente Prudente;SP;Presidente Prudente;62.823.257/0157-18;(18) 3916-7887 / 3917-2064;https://fatecpp.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_presidente_prudente_presidente_prudente.zip
299;Fatec Registro;Av. Clara Gianotti de Souza, 257 - Centro, Registro - SP, CEP 11900-000;Registro;SP;Registro;62.823.257.0299-30;(13) 2130-5455;https://fatecregistro.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2022/02/fatec_ra_registro_registro.zip
284;Fatec Ribeirão Preto;Av. Pio XII, 1255 - Vila Virginia - Ribeirão Preto/SP;Ribeirão Preto;SP;Ribeirão Preto;62.823.257/0284-53;(16) 3919-2320 / 3919-1871;https://fatecrp.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_ribeirao_preto_ribeirao_preto.zip
310;Fatec Rio Claro – Prof. Álvares Gracioli;Rua 2, nº 2.877, Vila Operária – Rio Claro;Rio Claro;SP;Campinas;62.823.257/0310-80;(19) 99739-3638;https://fatecrioclaro.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/11/fatec_ra_campinas_fatec_rio_claro.zip
283;Fatec Santana de Parnaíba;Av. Tenente Marques, 6380 - Fazendinha - CEP: 06529-001 - Santana de Panaíba/SP;Santana de Parnaíba;SP;Metropolitana de São Paulo;62.823.257/0283-72;(11) 2424-2757 / 2424-2754;https://fatecsdp.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_santana_de_parnaiba.zip
160;Fatec Santo André;Rua Prefeito Justino Paixão, 150 - Centro - CEP: 09020-130 - Santo André/SP;Santo André;SP;Metropolitana de São Paulo;62.823.257/0160-13;(11) 4437-2215;https://fatecsantoandre.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_santo_andre.zip
126;Fatec São Bernardo do Campo – Adib Moisés Dib;Av. Pereira Barreto, 400 - Vila Baeta Neves - CEP: 09751-000 - São Bernardo do Campo/SP;São Bernardo do Campo;SP;Metropolitana de São Paulo;62.823.257/0126-11;11 4126-9801 (Whatsapp) | 4126-9802 | 4126-9803;https://fatecsbc.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_sao_bernardo.zip
168;Fatec São Caetano do Sul – Antonio Russo;Rua Bell Aliance, 225 - Jardim São Caetano - CEP: 09581-420 - São Caetano/SP;São Caetano do Sul;SP;Metropolitana de São Paulo;62.823.257/0168-70;(11) 4239-9500;https://fatecsaocaetano.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_sao_caetano_do_sul.zip
269;Fatec São Carlos;Av. Araraquara, 451 Vila Brasília – CEP 13566-770 Vila Nery - São Carlos/SP;São Carlos;SP;Central;62.823.257/0269-14;(16) 3307-7545;https://fatecsaocarlos.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_central_sao_carlos.zip
121;Fatec São José do Rio Preto;Rua Fernandópolis, 2.510 - Eldorado - CEP: 15043-020 - São José do Rio Preto/SP;São José do Rio Preto;SP;São José do Rio Preto;62.823.257/0121-07;(17) 3219-9630;https://fatecriopreto.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_do_rio_preto_sao_jose_do_rio_preto.zip
146;Fatec São José dos Campos – Prof. Jessen Vidal;Avenida Cesare Mansueto Giulio Lattes, 1350 - Bairro Eugênio de Melo CEP 12.247-014 São José dos Campos - SP;São José dos Campos;SP;São José dos Campos;62.823.257/0146-65;(12) 3905-4979 / 3905-2423;http://fatecsjc-prd.azurewebsites.net/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_sao_jose_dos_campos.zip
002;Fatec São Paulo;Av. Tiradentes, 615 - Bom Retiro - São Paulo/SP - CEP: 01124-060;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0015-04;(11) 3322-2215 / 3322-2202;http://www.fatecsp.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_sao_paulo.zip
