"Cód. da Unidade";"Unidade";"Histórico";"CNPJ";"Região Administrativa";"Município";"Direção";"Direção Administrativo";"Direção Acadêmica";"Telefone";"Aniversário da Cidade";"Endereço";"Site";"Redes Sociais";"Arquivos";"Logotipo";"Cursos"
"";"Fatec Barueri – InovaSaúde (início das atividades 1º sem/2027)";"";"";"Metropolitana de São Paulo";"Barueri";"                                dir@cps.sp.gov.br              ";"                                adm@cps.sp.gov.br              ";"                                acad@cps.sp.gov.br              ";"Discagem Abreviada: (6)";"                26/03              ";"Avenida Marginal Esquerda, 1177 - Jardim Paulista, Barueri/SP - CEP: 06447-100";"";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"Cursos Superiores de Tecnologia PresenciaisCiência de Dados e Inteligência em SaúdeGestão Estratégica de Saúde e Hospitais"
"209";"Fatec Barueri – Padre Danilo José de Oliveira Ohl";"A Fatec foi implantada no 2º semestre de 2009.";"62.823.257/0209-83";"Metropolitana de São Paulo";"Barueri";"                Viviane Minati Panzeri                f209dir@cps.sp.gov.br              ";"                Naline Belmiro Freitas Silva                f209adm@cps.sp.gov.br              ";"                Maria Cristina Pacheco Lima                f209acad@cps.sp.gov.br              ";"(11) 2543-4900Discagem Abreviada: (6) 209";"                26/03              ";"Av. Carlos Capriotti , 123 - Centro - CEP: 06401-136 - Barueri/SP";"http://www.fatecbarueri.edu.br";"                                                  Facebook: https://www.facebook.com/fatecbaruerioficial                                                                                  Instagram: https://www.instagram.com/fatecbaruerioficial                                                                                                  Linkedin: https://www.linkedin.com/school/fatecbaruerioficial                                                                                  Youtube: https://www.youtube.com/channel/UCiKqQGiaPUGr77W9m9TblfQ                                                                                                                              ";"                                                                                Decreto de Criação: 54.465, de 19/06/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2009/decreto-54465-19.06.2009.html                                    Lei de Denominação: 14.930, de 09/01/2013 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2013/lei-14930-09.01.2013.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_barueri.zip                            ";"Cursos Superiores de Tecnologia PresenciaisComércio ExteriorDesign de Mídias DigitaisGestão da Tecnologia da InformaçãoGestão de Comércio EletrônicoGestão de EventosGestão de Negócios e PessoasGestão de Recursos HumanosTransporte TerrestreCursos Superiores de Tecnologia EaDGestão Empresarial"
"196";"Fatec Bauru";"A Fatec foi implantada no 2º semestre de 2008.";"62.823.257/0196-24";"Bauru";"Bauru";"                Wangner Barbosa da Costa                f196dir@cps.sp.gov.br              ";"                Damaris Gomes Ferraz da Silva                f196adm@cps.sp.gov.br              ";"                Elaine Cristina Misquiatti                f196acad@cps.sp.gov.br              ";"(14) 3236-9350Discagem Abreviada: (6) 196";"                01/08              ";"Rua Manoel Bento Cruz, 3-30 - Centro - CEP: 17015-171 - Bauru/SP";"https://fatecbauru.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fatecbauru196                                                                                  Instagram: https://www.instagram.com/fatecbauru196                                                                                  X: https://twitter.com/fatecbauru                                                                                  Linkedin: https://www.linkedin.com/in/fatec-bauru-022628164                                                                                  Youtube: https://www.youtube.com/channel/UCt7XqAdl9tLKP_OCGQJyd4Q                                                                                                  Tiktok: https://www.tiktok.com/@fatecbauru.oficial                                                                                              ";"                                                                                Decreto de Criação: 53.367, de 01/09/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-53367-01.09.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_bauru_bauru.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAutomação IndustrialBanco de DadosGestão HospitalarRedes de ComputadoresSistemas BiomédicosCursos Superiores de Tecnologia EaDGestão Empresarial"
"280";"Fatec Bebedouro – Jorge Caram Sabbag";"A Fatec iniciou as atividades em 2014.";"62.823.257/0280-20";"Barretos";"Bebedouro";"                Carla Regina Lanzotti                f280dir@cps.sp.gov.br              ";"                Aline Beatriz Ramos Luz                f280adm@cps.sp.gov.br              ";"                Elaine Bento de Albuquerque                f280acad@cps.sp.gov.br              ";"(17) 3343-5395Discagem Abreviada: (6) 280";"                03/05              ";"Rua Dr. Oscar Werneck,1286 - Centro - CEP: 14701-120 - Bebedouro/SP";"https://fatecbb.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fatecbebedouro                                                                                  Instagram: https://www.instagram.com/fatecbebedouro                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-bebedouro                                                                                  Youtube: https://www.youtube.com/channel/UC5nrh-EcWgKDzJyaK8C-0iQ                                                                                                                              ";"                                                                                Decreto de Criação: 60.580, de 27/06/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2014/decreto-60580-27.06.2014.html                                    Lei de Denominação: 15.816, de 23/04/2015 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2015/lei-15816-23.04.2015.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_barretos_bebedouro_jorge_caram_sabbag.zip                            ";"Cursos Superiores de Tecnologia PresenciaisBig Data no AgronegócioLogística"
"112";"Fatec Botucatu";"A Fatec foi implantada em 2002.";"62.823.257/0112-16";"Sorocaba";"Botucatu";"                Gustavo Kimura Montanha                f112dir@cps.sp.gov.br              ";"                José Roberto Sperandim                f112adm@cps.sp.gov.br              ";"                Danisley de Paula Roschel                f112acad@cps.sp.gov.br              ";"(14) 3811-7400Discagem Abreviada: (6) 112";"                14/04              ";"Av. José Ítalo Bacchi, s/n° - Jd. Aeroporto - CEP: 18606-855 - Botucatu/SP";"http://www.fatecbt.edu.br";"                                                  Facebook: https://www.facebook.com/ftcbotucatu                                                                                  Instagram: https://www.instagram.com/ftcbotucatu/                                                                                  X: https://twitter.com/fatecbotucatu                                                                                  Linkedin: https://linkedin.com/school/ftcbotucatu                                                                                  Youtube: https://www.youtube.com/c/FatecBotucatuoficial                                                                                                                              ";"                                                                                Decreto de Criação: 39.693, de 16/12/1994 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1994/decreto-39693-16.12.1994.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_botucatu.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasLogísticaProdução IndustrialRadiologiaCursos Superiores de Tecnologia EaDGestão Empresarial"
"183";"Fatec Bragança Paulista – Jornalista Omair Fagundes de Oliveira";"A Fatec foi implantada no 2º semestre de 2008.";"62.823.257/0183-00";"Campinas";"Bragança Paulista";"                Vagner Donizeti Tavares Ferreira                f183dir@cps.sp.gov.br              ";"                Rosângela Soares de Freitas                f183adm@cps.sp.gov.br              ";"                Fabiana Mie Matsuda                f183acad@cps.sp.gov.br              ";"(11) 4031-0628Discagem Abreviada: (6) 183";"                15/12              ";"Rua das Indústrias, 130 - Bairro Uberaba - CEP: 12926-674 - Bragança Paulista/SP";"https://fatecbraganca.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fatecbpaulista                                                                                  Instagram: https://www.instagram.com/fatecbraganca/                                                                                  X: https://twitter.com/fatecbpaulista                                                                                  Linkedin: https://www.linkedin.com/school/fatec-faculdade-de-tecnologia-de-bragan%C3%A7a-paulista                                                                                   Youtube: https://www.youtube.com/c/fatecbragancapaulista                                                                                                                              ";"                                                                                Decreto de Criação: 53.368, de 01/09/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-53368-01.09.2008.html                                    Lei de Denominação: 13.889, de 22/12/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2009/lei-13889-22.12.2009.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_braganca_paulista.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão da Tecnologia da InformaçãoGestão EmpresarialGestão FinanceiraLogísticaCursos Superiores de Tecnologia EaDGestão Empresarial"
"";"Fatec Caçapava (início das atividades 1º sem/2027)";"";"";"São José dos Campos";"Caçapava";"                                dir@cps.sp.gov.br              ";"                                adm@cps.sp.gov.br              ";"                                acad@cps.sp.gov.br              ";"Discagem Abreviada: (6)";"                14/04              ";"Rodovia João Amaral Gurgel, s/n - Vila Centenário - Caçapava/SP";"";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"Cursos Superiores de Tecnologia PresenciaisSistemas Embarcados"
"276";"Fatec Campinas";"A Fatec foi implantada no 2º semestre de 2014";"62.823.257/0276 – 43";"Campinas";"Campinas";"                Jaime Cazuhiro Ossada                f276dir@cps.sp.gov.br              ";"                Jessica Cinthia Silva                f276adm@cps.sp.gov.br              ";"                Adriano Batista Teodoro de Almeida                f276acad@cps.sp.gov.br              ";"(19) 3216-6472 / 3216-6474Discagem Abreviada: (6) 276";"                14/07              ";"Av. Cônego Roccato, 593 - Jardim Santa Mônica - CEP: 13082-015";"http://www.fateccampinas.com.br";"                                                  Facebook: https://www.facebook.com/fateccps                                                                                  Instagram: https://www.instagram.com/fateccampinas                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-campinas/                                                                                  Youtube: https://www.youtube.com/channel/UCESUAdVT1Z-6yeLVqUrrlmw                                                                                                                              ";"                                                                                Decreto de Criação: 60.320, de 01/04/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2014/decreto-60320-01.04.2014.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_campinas.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão da Tecnologia da InformaçãoGestão de Energia e Eficiência EnergéticaGestão EmpresarialLogísticaProcessos Químicos"
"174";"Fatec Capão Bonito";"A Fatec iniciou suas atividades em 2008.";"62.823.257/0174-19";"Itapeva";"Capão Bonito";"                Sonia Maria Esposte Sturaro                f174dir@cps.sp.gov.br              ";"                Edval Vantroba                f174adm@cps.sp.gov.br              ";"                Alecsandra Cristina Benatti Ferreira                f174acad@cps.sp.gov.br              ";"(15) 3542-2206 / 3542-2654Discagem Abreviada: (6) 174";"                02/04              ";"Rua Amantino de Oliveira Ramos, 60 - Terras do Embiruçu - Capão Bonito/SP";"https://fateccapaobonito.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fateccb                                                                                  Instagram: https://www.instagram.com/fateccb/                                                                                  X: https://twitter.com/FatecCapao                                                                                                  Youtube: https://www.youtube.com/channel/UCEr4OrfIs-IwG7QL8lrbbqg                                                                                                                              ";"                                                                                Decreto de Criação: 52.640, de 21/01/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-52640-21.01.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_itapeva_capao_bonito.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAgroindústriaSilviculturaCursos Superiores de Tecnologia EaDGestão Empresarial"
"143";"Fatec Carapicuíba";"A Fatec foi implantada no 1º semestre de 2006.";"62.823.257/0143-12";"Metropolitana de São Paulo";"Carapicuíba";"                Márcia Araújo                f143dir@cps.sp.gov.br              ";"                Carlos Henrique Etechebehere                f143adm@cps.sp.gov.br              ";"                Vanessa Priscila Salvador Lopes                f143acad@cps.sp.gov.br              ";"(11) 4185-6600Discagem Abreviada: (6) 143";"                26/03              ";"Av. Francisco Pignatari, 650 - Vila Gustavo Correia - CEP: 06310-390 - Carapicuíba/SP";"https://fateccarapicuiba.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/FatecCarapicuibaCPS                                                                                  Instagram: https://www.instagram.com/fateccarapicuiba                                                                                  X: https://twitter.com/fateccpboficial                                                                                  Linkedin: https://www.linkedin.com/school/fatec-carapicuiba                                                                                  Youtube: https://www.youtube.com/c/FatecCarapicuibaOFICIAL                                                                                                  Tiktok: https://www.tiktok.com/@fateccarapicuiba                                                                                              ";"                                                                                Decreto de Criação: 50.573, de 02/03/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-50573-02.03.2006.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_carapicuiba.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasDesign de Mídias DigitaisJogos DigitaisLogísticaSecretariadoCursos Superiores de Tecnologia EaDGestão Empresarial"
"                182              ";"Fatec Catanduva";"A Fatec foi implantada no 2º semestre de 2008";"62.823.257/0182-29";"                São José do Rio Preto                         ";"                Catanduva              ";"                Gilson José da Silva                f182dir@cps.sp.gov.br              ";"                Taís Morselli Soares                f182adm@cps.sp.gov.br              ";"                Gabriela Ignácio Dias                f182acad@cps.sp.gov.br              ";"                (17) 3524-7211 / 3524-7186                Discagem Abreviada: (6) 182              ";"                14/04              ";"Rua Maranhão, 898 - Centro - CEP: 15800-020 - Catanduva/SP";"https://fateccatanduva.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/catanduvafatec                                                                                  Instagram: https://www.instagram.com/catanduvafatec/                                                                                  X: https://twitter.com/catanduvafatec/                                                                                  Linkedin: https://www.linkedin.com/company/fatec-catanduva                                                                                  Youtube: https://www.youtube.com/channel/UCeOF8lgOAavJiYcTxdKLqaA                                                                                                  Tiktok: https://www.tiktok.com/@catanduvafatec                                                                                              ";"                                                                                Decreto de Criação: 53.369, de 01/09/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-53369-01.09.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_do_rio_preto_catanduva.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAutomação IndustrialCiência de Dados para o AgronegócioGestão da Tecnologia da InformaçãoGestão Empresarial                                                                                                      "
